State ,Date,Count
Karnataka,2021-01,3
Karnataka,2021-02,5
Karnataka,2021-03,5
Karnataka,2021-04,4
Karnataka,2021-05,0
Karnataka,2021-06,0
Karnataka,2021-07,2
Karnataka,2021-08,0
Karnataka,2021-09,6
Karnataka,2021-10,7
Karnataka,2021-11,9
Karnataka,2021-12,7
Madhya Pradesh,2021-01,12
Madhya Pradesh,2021-02,7
Madhya Pradesh,2021-03,4
Madhya Pradesh,2021-04,5
Madhya Pradesh,2021-05,1
Madhya Pradesh,2021-06,1
Madhya Pradesh,2021-07,5
Madhya Pradesh,2021-08,3
Madhya Pradesh,2021-09,5
Madhya Pradesh,2021-10,10
Madhya Pradesh,2021-11,5
Madhya Pradesh,2021-12,8
Haryana,2021-01,0
Haryana,2021-02,0
Haryana,2021-03,2
Haryana,2021-04,1
Haryana,2021-05,0
Haryana,2021-06,2
Haryana,2021-07,3
Haryana,2021-08,2
Haryana,2021-09,3
Haryana,2021-10,1
Haryana,2021-11,4
Haryana,2021-12,16
Karnataka,2020-01,3
Karnataka,2020-02,2
Karnataka,2020-03,1
Karnataka,2020-04,0
Karnataka,2020-05,0
Karnataka,2020-06,1
Karnataka,2020-07,0
Karnataka,2020-08,0
Karnataka,2020-09,2
Karnataka,2020-10,1
Karnataka,2020-11,2
Karnataka,2020-12,0
Madhya Pradesh,2020-01,0
Madhya Pradesh,2020-02,0
Madhya Pradesh,2020-03,4
Madhya Pradesh,2020-04,1
Madhya Pradesh,2020-05,0
Madhya Pradesh,2020-06,2
Madhya Pradesh,2020-07,1
Madhya Pradesh,2020-08,1
Madhya Pradesh,2020-09,7
Madhya Pradesh,2020-10,2
Madhya Pradesh,2020-11,3
Madhya Pradesh,2020-12,4
Haryana,2020-01,1
Haryana,2020-02,1
Haryana,2020-03,0
Haryana,2020-04,0
Haryana,2020-05,0
Haryana,2020-06,2
Haryana,2020-07,0
Haryana,2020-08,2
Haryana,2020-09,0
Haryana,2020-10,1
Haryana,2020-11,1
Haryana,2020-12,0
Karnataka,2019-01,2
Karnataka,2019-02,0
Karnataka,2019-03,1
Karnataka,2019-04,2
Karnataka,2019-05,1
Karnataka,2019-06,2
Karnataka,2019-07,0
Karnataka,2019-08,1
Karnataka,2019-09,0
Karnataka,2019-10,0
Karnataka,2019-11,3
Karnataka,2019-12,1
Haryana,2019-01,1
Haryana,2019-02,1
Haryana,2019-03,0
Haryana,2019-04,0
Haryana,2019-05,1
Haryana,2019-06,2
Haryana,2019-07,1
Haryana,2019-08,0
Haryana,2019-09,1
Haryana,2019-10,1
Haryana,2019-11,0
Haryana,2019-12,0
Madhya Pradesh,2019-01,0
Madhya Pradesh,2019-02,1
Madhya Pradesh,2019-03,0
Madhya Pradesh,2019-04,2
Madhya Pradesh,2019-05,0
Madhya Pradesh,2019-06,0
Madhya Pradesh,2019-07,0
Madhya Pradesh,2019-08,0
Madhya Pradesh,2019-09,2
Madhya Pradesh,2019-10,3
Madhya Pradesh,2019-11,2
Madhya Pradesh,2019-12,5
Karnataka,2018-01,0
Karnataka,2018-02,0
Karnataka,2018-03,0
Karnataka,2018-04,0
Karnataka,2018-05,0
Karnataka,2018-06,1
Karnataka,2018-07,0
Karnataka,2018-08,1
Karnataka,2018-09,0
Karnataka,2018-10,2
Karnataka,2018-11,3
Karnataka,2018-12,0
Madhya Pradesh,2018-01,2
Madhya Pradesh,2018-02,1
Madhya Pradesh,2018-03,5
Madhya Pradesh,2018-04,0
Madhya Pradesh,2018-05,0
Madhya Pradesh,2018-06,1
Madhya Pradesh,2018-07,1
Madhya Pradesh,2018-08,0
Madhya Pradesh,2018-09,1
Madhya Pradesh,2018-10,0
Madhya Pradesh,2018-11,0
Madhya Pradesh,2018-12,1
Haryana,2018-01,0
Haryana,2018-02,0
Haryana,2018-03,1
Haryana,2018-04,0
Haryana,2018-05,0
Haryana,2018-06,0
Haryana,2018-07,0
Haryana,2018-08,0
Haryana,2018-09,0
Haryana,2018-10,0
Haryana,2018-11,0
Haryana,2018-12,1